Input Sample,Endothelial,Neuron,Astrocyte,Pre Oligo,New Oligo,Mye-Oligo,Microglia,P-value,Pearson Correlation,RMSE
Sample_041615_86_AdultHet_H5TJTBBXX,0.024908567897979114,0.44924189163580636,0.25434777861047475,0.05448230901360025,0.009077542132558066,0.1828489366895319,0.025092974020049574,0,0.5529829656124441,0.833363704289932
Sample_062115_1_p21_H_C7DMTACXX,0.038499774401091126,0.42097229378715806,0.2165394068884005,0.031661153774748194,0.11528138660605483,0.15543244516174007,0.02161353938080723,0,0.5628659777281997,0.8270085170251812
Sample_062115_2_p21_H_C7DMTACXX,0.03844038994541936,0.4511217424778512,0.2555431326537202,0.037871791046158454,0.11334961178935853,0.08618540705154405,0.01748792503594827,0,0.5381477907325011,0.8439281400130048
Sample_062115_3_p21_H_C7DMTACXX,0.018840557006833437,0.366764011908091,0.1857912418798022,0.05052525214482294,0.09174341632922502,0.27520323320054996,0.011132287530675371,0,0.6487305515889096,0.7607310611135517
Sample_070415_114_AdultHet_H5TJTBBXX,0.016067411989335458,0.4335850115056248,0.23613999707732325,0.052986824039206924,0.03263906205570728,0.20914500975197894,0.019436683580823344,0,0.5346932063961246,0.8470948769897929
Sample_070415_3_p21_WT_C7DMTACXX,0.03226255586274355,0.3990210501019605,0.1990435428147043,0.029204025693087266,0.18111308628224634,0.13905948211998936,0.020296257125268693,0,0.6204295958468243,0.7838954002446009
Sample_070415_4_p21_WT_C7DMTACXX,0.04436150885656182,0.4519501420749043,0.2406473156640781,0.024869696058133845,0.12191220005400856,0.09706753679305656,0.019191600499256785,0,0.5548274987505029,0.8323076649313992
Sample_070415_5_p21_WT_C7DMTACXX,0.048848401546406156,0.38786252271719396,0.22342161913654254,0.034379891930993785,0.1211816525484553,0.16785415976419946,0.016451752356208816,0,0.6056705385438979,0.7953025516033848
Sample_073014_29_AdultWT_H5TJTBBXX,0.027611718069307477,0.40915864934743373,0.269558151385352,0.04229093673122554,0,0.23090097313722935,0.0204795713294518,0,0.5992244441271762,0.800158907162096
Sample_073014_31_AdultWT_H5TJTBBXX,0.013576717944470658,0.3436372865965082,0.2252624633138195,0.049167352739556566,0,0.3477535532661828,0.020602626139462284,0,0.6109073094609002,0.7922436723190275
Sample_082615_1_p1Het_H5TJTBBXX,0.13707914919073438,0.36961913270088587,0.17891644402925708,0.3030910101418574,0.009731044650693814,0,0.001563219286571381,0,0.3622282371192055,0.9377364773028591
Sample_082615_2_p1Het_H5TJTBBXX,0.11146581444596941,0.4938923257824476,0.10655375530117074,0.2799853324536254,0.007437592184990886,0,0.0007,0,0.37666412517281117,0.9347772302105073
Sample_082615_3_p1Het_H5TJTBBXX,0.15001717080261362,0.3793300451552101,0.1441055654570398,0.3103249066881433,0.01546261556541068,0,0.0008,0,0.3507432169393042,0.9415943233045931
Sample_082615_5_p1WT_H5TJTBBXX,0.17518081076782596,0.3364011437854636,0.182048896336449,0.29370895509954836,0.011433853354063255,0,0.001226340656649853,0,0.34335050669215367,0.9447258461867397
Sample_082615_6_p1WT_H5TJTBBXX,0.17543563786875388,0.30281690615254236,0.146022582762298,0.36611239469697304,0.009612478519432808,0,0,0,0.3204433287451273,0.9523763385431575
Sample_082615_8_p1WT_H5TJTBBXX,0.18939300348188154,0.37798027110118265,0.1887017160322658,0.23355473438122254,0.006638245526518201,0,0.003732029476929223,0,0.3800634395362018,0.9283983282845708
Sample_090114_2_AdultWT_H5TJTBBXX,0.018771825409732535,0.3168417374840486,0.2641617721319394,0.04701176259894197,0.0009,0.3288495605287872,0.023463035258379936,0,0.6619170790158825,0.7495068197691047
Sample_090614_24_AdultWT_H5TJTBBXX,0.013560572537061848,0.3227397204264236,0.21844208127373052,0.04636101761166604,0,0.38425705064160776,0.014639557509510277,0,0.6011487826936383,0.8023962712753432
Sample_090614_3_AdultHet_H5TJTBBXX,0.012241127080877148,0.3727416207381627,0.24607297121714,0.05366439450784434,0.0004,0.2962549374209231,0.018596198246489906,0,0.5851796229450533,0.8113571844729988
Sample_091614_4_p21_WT_C7DMTACXX,0.01798227223929269,0.2885372348665891,0.19768570815003675,0.018123928544177808,0.164866138515649,0.30100464781848557,0.011800069865769182,0,0.6719241597621791,0.7440001239275242
Sample_091614_8_p21_H_C7DMTACXX,0.03070015414548825,0.3964940510973837,0.2049695090489369,0.039549908336372855,0.09319090670841226,0.2198249793432386,0.015270491320167421,0,0.6180401751184746,0.7857641514676881
Sample_092214_3_p21_WT_C7DMTACXX,0.040680745267570526,0.3395540607314875,0.2109788910771337,0.038884565948638435,0.0476341274253441,0.30420131307361886,0.01806629647620694,0,0.6387400833631784,0.7690575801775423
Sample_092214_8_p21_H_C7DMTACXX,0.015199823739423848,0.38097994782338096,0.19322344774192693,0.04102765909897957,0.13226276257965952,0.22435248991425286,0.012953869102376307,0,0.6158549619134174,0.7884675850279868
Sample_100914_7_p21_WT_C7DMTACXX,0.044635544771544515,0.3274411402179579,0.19020725411550524,0.03148307930909073,0.10556587113913965,0.28258145615188374,0.01808565429487834,0,0.6691882075334,0.7427805426667905
Sample_100914_8_p21_H_C7DMTACXX,0.010024377118714374,0.36314449645627567,0.1901591305589746,0.03369825231838406,0.1520964936461263,0.23706150104236104,0.013815748859164003,0,0.6337484804207958,0.7746184720032786
Sample_111314_1_p1Het_H5TJTBBXX,0.1159380280285729,0.5329023160558714,0.12802175874676944,0.20809499691230676,0.012705590387848069,0,0.002337309868631495,0,0.42751160173581143,0.9097609248397027
Sample_112114_1_p1WT_H5TJTBBXX,0.1266398748803619,0.3942258109488461,0.11555405582128721,0.35148881763457157,0.012091440714933139,0,0,0,0.3758016133712836,0.9296737739567916
Sample_121214_18_AdultHet_H5TJTBBXX,0.00871954283780679,0.3112699290847379,0.25868061830670447,0.04984105306244667,0,0.36108535143065357,0.01040350527765061,0,0.6172554244177013,0.7881326294170593
Sample_1_Adult_WT_090614_4_C76VFACXX,0.020982768528895513,0.26118622955319204,0.2349353680504816,0.034185655464672365,0,0.43768878563712355,0.011021192765634933,0,0.7040395463242102,0.7102779470199839
Sample_2_Adult_WT_090614_1_C76VFACXX,0.01579960362018258,0.38048496261789383,0.18644828855111822,0.053291465249462676,0,0.3543024616100191,0.009673218351323553,0,0.6742435510399527,0.7384309185535168
Sample_3_Adult_HT_090614_5_C76VFACXX,0.008237468680650924,0.4362486030166703,0.21424882403403728,0.05362585469317541,0.017962088601139348,0.26085847127807843,0.00881868969624834,0,0.6146262731588807,0.788427481641164
Sample_4_Adult_HT_090114_6__C76VFACXX,0.018481750015875407,0.37811898905977004,0.24475992257774212,0.04838993334604912,0.03521051113819017,0.2608409105094039,0.014197983352969202,0,0.6152344986367161,0.7879716360793921
Sample_5_p1_WT_112114_2_C76VFACXX,0.13942094865884752,0.4361789587670254,0.15859847821077003,0.2554157964519972,0.010385817911359847,0,0,0,0.366634485675861,0.9376965866229658
Sample_6_p1_WT_113014_2_C76VFACXX,0.07040401563558998,0.5248979057585437,0.10048686232364563,0.29917353896639626,0.005037677315824502,0,0,0,0.4479902075260716,0.8974441238616407
Sample_7_p1_HT_100914_2_C76VFACXX,0.10463703350660432,0.4874775807833183,0.14614075083647485,0.2549038460734682,0.006840788800134321,0,0,0,0.4375080121458519,0.9023050985080846
Sample_8_p1_HT_100914_1_C76VFACXX,0.15372444528200466,0.3845071807618802,0.15417914177187753,0.2905210502400727,0.01177535222083938,0,0.005292829723325501,0,0.36331785339791806,0.9360150649516225
